fidu,Field,NI,ND,NM,NL,NT,CI,CD,CM,CL,CT,EI,ED,EM,EL,ET,ECe18,ECa18,ECeg18,CRI,CRD,CRM,CRL,CRT,CCI,CCD,CCM,CCL,CCT
151,Muth3,0.302158266,1.277664125,3.327644169,1.742625505,6.650092065,0.767247856,1.697032631,3.599388659,3.365731121,9.429400267,1.117804819,22.89638645,22.43908374,4.483595866,50.93687087,2.690104485,0.695286026,2.690104485,0.862278588,0.224068016,0.122592998,0.372362366,0.275874294,0.540928628,0,0.268827499,0.190144989,0.106670407
152,Muth3,0.288671434,1.273186863,3.314742982,1.599025548,6.475626827,0.764998078,1.68604815,3.590442956,3.353952408,9.395441592,0.820784004,20.6294983,19.23023608,3.788449467,44.46896785,3.561613798,0.954348831,2.471242189,0.898873641,0.300890226,0.248064494,0.469672662,0.367822911,0.662912136,0,0.373387078,0.315706661,0.220104331
153,Muth3,0.276450515,1.255813271,3.335673988,1.565051436,6.43298921,0.76534152,1.679428697,3.559209824,3.331750095,9.335730136,0.718986402,17.95864643,15.79751647,3.330095344,37.80524465,3.702685356,1.007275696,2.596320629,0.911415821,0.391402298,0.382289771,0.533835514,0.462555335,0.704719403,0.02179226,0.485241476,0.398497438,0.336972545
154,Muth3,0.269361556,1.253296375,3.344896436,1.69444868,6.562003047,0.762771249,1.685932815,3.535070181,3.382545471,9.366319716,0.908954108,17.57287364,14.70186169,3.391921311,36.57561075,2.90276432,0.794700317,2.829909086,0.888010464,0.404475691,0.425131768,0.525180786,0.480035984,0.626701547,0.04280531,0.52094314,0.387330046,0.358537835
157,Muth3,0.270690292,1.259527773,3.33695817,1.744142935,6.61131917,0.766497731,1.692269861,3.56112349,3.384368241,9.404259323,1.991205929,17.47445408,14.27936433,3.29759369,37.04261803,2.466616154,0.657383194,2.466616154,0.754669432,0.407811016,0.441652146,0.538385269,0.473396943,0.18223144,0.048166225,0.534710122,0.404368089,0.350347473
158,Muth3,0.241342753,1.267229021,3.325453282,1.719947188,6.553972244,0.747929096,1.695774556,3.571425735,3.435459375,9.450588762,1.755823494,18.19442207,14.63548975,3.099898721,37.68563404,2.359368086,0.632631073,2.359368086,0.783670203,0.383412135,0.427727026,0.566059664,0.464255737,0.278900675,0.008949557,0.523105855,0.440076985,0.339070273
159,Muth3,0.235900968,1.295795768,3.326039254,1.6825158,6.54025179,0.748327851,1.710844576,3.57232344,3.395199239,9.426695106,1.546005732,21.5650528,19.70017729,3.541401393,46.35263722,2.243270874,0.639350243,2.243270874,0.809521226,0.269185369,0.22968898,0.504255768,0.341044403,0.365070753,0,0.35807415,0.360330023,0.187068584
160,Muth3,0.233596697,1.301855177,3.299165904,1.400871022,6.2354888,0.751175225,1.709430098,3.573002041,3.351025462,9.384632826,1.601770415,21.6105244,19.34089072,3.436270629,45.98945616,2.382137775,0.560627594,2.382137775,0.802650625,0.267644389,0.243737706,0.518972532,0.346207436,0.34216875,0,0.369781422,0.379319396,0.193438044
161,Muth3,0.239579678,1.313867271,3.281964004,1.338268652,6.173679605,0.747633398,1.713718236,3.574423074,3.352613568,9.388388276,1.852648225,22.58695296,21.10900615,3.799691101,49.34829844,1.720457554,0.504717178,1.720457554,0.771740715,0.234554358,0.174601333,0.468098998,0.298457663,0.239135717,0,0.312167778,0.313676127,0.134530751
162,Muth3,0.24055104,1.311327427,3.300602377,1.406547739,6.259028583,0.746387661,1.712157488,3.588635325,3.347204209,9.394384683,2.078629227,22.87899962,21.45765725,4.032767053,50.44805315,2.038440466,0.520913239,2.038440466,0.743898267,0.224657235,0.160968472,0.435471785,0.282823395,0.146327557,0,0.30080706,0.271576497,0.11524328
163,Muth3,0.247451663,1.307938993,3.310829221,1.584915682,6.451135559,0.750956953,1.713919282,3.578337491,3.367759704,9.41097343,1.959831814,22.45228454,20.82608547,4.117684383,49.3558862,2.536710501,0.598009071,2.536710501,0.758534943,0.239118114,0.185664022,0.423584605,0.298349794,0.195116478,0,0.321386685,0.2562382,0.134397677
164,Muth3,0.242445782,1.330097586,3.318303227,1.701811999,6.592658594,0.746613979,1.715402961,3.580412686,3.348888755,9.391318381,1.585023889,21.90913715,19.93104516,4.090227055,47.51543325,2.420654774,0.679259796,2.420654774,0.804713915,0.257524749,0.220661646,0.427428228,0.324513931,0.349046382,0,0.350551372,0.261197713,0.166675496
165,Muth3,0.258184522,1.322553724,3.330309093,1.66773337,6.578780709,0.75364089,1.706999064,3.570745825,3.362247824,9.393633603,1.930386614,20.61725787,18.40178149,3.788410332,44.73783631,3.084549904,0.799337997,2.809726477,0.762162799,0.30130504,0.280458502,0.469678141,0.364000639,0.20720933,0,0.400382085,0.31571373,0.215388923
166,Muth3,0.259330511,1.303572178,3.339130223,1.684220524,6.586253436,0.754027307,1.692302049,3.582774341,3.389121413,9.41822511,2.741085021,19.72737304,17.86785995,3.66045147,43.99676948,4.351405144,1.060161591,3.193044186,0.662279056,0.331462205,0.301335758,0.487590504,0.374535749,-0.125736479,0,0.417779798,0.338826456,0.228385735
167,Muth3,0.268846154,1.252278864,3.325698495,1.621510119,6.468333632,0.757830322,1.683526814,3.599784911,3.369892299,9.411034346,2.780709623,21.62594698,20.86045699,4.138342125,49.40545571,4.363228321,1.052700348,3.203933477,0.657397027,0.267121736,0.184320036,0.420692824,0.297645107,-0.14200991,0,0.320266697,0.25250687,0.133528328
168,Muth3,0.269179761,1.232525558,3.310979008,1.603130565,6.415814892,0.758443058,1.680475473,3.592747808,3.356522025,9.388188364,2.067297512,23.7094658,23.78950545,4.593428059,54.15969682,2.601664543,0.708630905,2.620797873,0.745294414,0.196513699,0.069789173,0.356987471,0.230058148,0.15098138,0,0.224824311,0.170306414,0.050148564
169,Muth3,0.246694371,1.252820909,3.320052445,1.523850307,6.343418032,0.753385603,1.678502559,3.594548345,3.352892518,9.379329025,1.530763382,21.16861694,20.03683647,3.898324174,46.63454097,3.103907824,0.803567047,2.244830132,0.811399191,0.28262012,0.216525023,0.454291815,0.33703682,0.371330635,0,0.347104186,0.295860407,0.182124563
170,Muth3,0.248721346,1.251224398,3.345519543,1.486713767,6.332179054,0.752257764,1.677658022,3.573528408,3.345729291,9.349173485,1.436061605,17.57170112,15.07494371,3.066401842,37.14910828,2.989234924,0.811355972,2.594115496,0.823067115,0.404515426,0.410543616,0.570748735,0.471883062,0.410223717,0.042869177,0.508786347,0.4461274,0.348479849
171,Muth3,0.248385876,1.232634842,3.312782944,1.524678096,6.318481758,0.754305124,1.675262511,3.582868875,3.380326926,9.392763436,1.451780132,17.10872184,13.52598375,2.712267487,34.79875322,3.062359095,0.765715942,2.605814695,0.821130482,0.420205257,0.471110631,0.620322349,0.50529604,0.403768274,0.068087665,0.559258859,0.510093353,0.389700319
174,Muth3,0.278039575,1.23929432,3.329646289,1.617826476,6.46480666,0.763721883,1.680691898,3.552066803,3.376494885,9.372975469,2.695229773,17.06644722,12.98090456,2.426063505,35.16864506,2.531695127,0.648705215,2.531695127,0.667928745,0.421637895,0.49242417,0.660386707,0.500037605,-0.106904182,0.070390365,0.577020142,0.561789299,0.383213165
175,Muth3,0.24246347,1.264503985,3.310182034,1.563245684,6.380395173,0.763036132,1.694684863,3.58170128,3.383724212,9.423146487,2.499596645,18.41261724,14.2699201,2.559546731,37.74168071,2.283003092,0.611197929,2.283003092,0.692032122,0.376017754,0.442021432,0.641701014,0.463458969,-0.026559594,0,0.53501786,0.537678727,0.338087328
176,Muth3,0.226274729,1.295284331,3.315164803,1.545408963,6.382132826,0.754495621,1.707585096,3.589309514,3.357028544,9.408418775,2.433911781,20.68643284,19.0780713,3.305373898,45.50378982,3.36691761,0.904926682,2.426922798,0.700124959,0.29896078,0.2540144,0.537296154,0.353111737,0.00041653,0,0.378345334,0.402962779,0.201955649
177,Muth3,0.21677579,1.295787692,3.307780505,1.403349624,6.223693611,0.739226341,1.711372912,3.575536251,3.357126057,9.383261561,2.180369831,20.92847435,19.31092011,3.433984797,45.85374909,3.510773659,0.951347427,2.422369003,0.731363109,0.290758274,0.244909609,0.519292515,0.348136667,0.104543698,0,0.370758008,0.379732277,0.195818072
178,Muth3,0.209626794,1.304792822,3.312227965,1.389950454,6.216598035,0.724998355,1.713527083,3.562468528,3.33119291,9.332186876,1.978519623,21.78178316,20.41247156,3.800214473,47.97298882,3.279277086,0.903031311,2.149246454,0.756232474,0.261840628,0.201837041,0.468025734,0.318009257,0.18744158,0,0.334864201,0.313581592,0.158650897
179,Muth3,0.225589231,1.312056453,3.309767008,1.467096135,6.314508827,0.736227453,1.713336528,3.583710849,3.355332971,9.388607801,2.240293058,22.68106032,21.50290079,4.216969852,50.64122402,2.926403284,0.883024368,2.959995985,0.723980147,0.231365168,0.159199371,0.409686096,0.280077251,0.079933822,0,0.29933281,0.23830464,0.111855454
180,Muth3,0.228051394,1.302726895,3.326907636,1.634795711,6.492481636,0.749698699,1.709118307,3.56973338,3.386071265,9.414621651,2.528341586,23.06097838,21.81023932,4.39613472,51.795694,3.134035587,0.837334976,2.859654188,0.688490543,0.218490186,0.147181903,0.384605643,0.263665144,-0.038364856,0,0.289318253,0.205942766,0.091608388
181,Muth3,0.240307242,1.329449058,3.307779192,1.638599664,6.516135156,0.757924259,1.713270187,3.581658304,3.380393982,9.433246732,2.737552902,22.49172816,21.09041172,4.164829318,50.48452209,3.112778425,0.811199951,2.357044458,0.662714238,0.237781416,0.175328408,0.416985006,0.282304948,-0.124285872,0,0.312773673,0.247722588,0.114603688
182,Muth3,0.26916492,1.336756646,3.313029885,1.573688209,6.49263966,0.755078852,1.714031697,3.576467276,3.349978268,9.395556093,2.843866479,21.03602,19.10618107,3.644950926,46.63101848,3.245908976,0.932299957,2.096958399,0.649615658,0.287113677,0.25291526,0.489760352,0.337086896,-0.167947806,0,0.377429383,0.341626261,0.18218634
183,Muth3,0.272212803,1.280868828,3.323377847,1.501300066,6.377759544,0.743376791,1.699802876,3.56286788,3.338687242,9.344734789,2.860704183,19.30168352,16.90327715,3.160854225,42.22651908,4.204434872,1.103386383,3.05768466,0.647541135,0.345888329,0.339052615,0.557526787,0.399701878,-0.174862884,0,0.449210512,0.429066823,0.259432343
184,Muth3,0.267685354,1.239922762,3.315317691,1.483972639,6.306898446,0.751620054,1.683292746,3.582955837,3.341178417,9.359047054,3.13706922,20.67006252,19.28370436,3.460725539,46.55156165,4.47502327,1.060108948,3.306896448,0.613491019,0.299515552,0.245973792,0.515549204,0.338216465,-0.288363269,0,0.371644826,0.374902198,0.183579852
